ADM_CD,병의원,약국
11220610,16,11
11220620,42,12
11220630,20,8
11220640,10,10
11220650,56,16
11220660,48,23
11220670,15,11
11220680,10,6
11230510,327,48
11230511,13,9
11230520,265,48
11230530,141,38
11230580,59,24
11230590,59,16
11230600,65,21
11230630,54,23
11230640,358,86
11230650,81,32
11230660,54,25
11230670,31,15
11230680,1,3
11230710,20,13
11230720,10,19
11230730,16,13
11230750,25,12
11230760,21,13
11230770,253,39
11230780,237,28
11230790,45,19
11230800,31,18
11240510,6,7
11240520,9,29
11240530,6,3
11240540,36,18
11240550,9,7
11240560,16,14
11240570,16,10
11240580,36,22
11240590,8,6
11240600,15,12
11240610,25,14
11240620,18,10
11240630,48,31
11240640,27,17
11240650,37,23
11240660,18,13
11240670,35,19
11240680,12,6
11240690,66,28
11240710,76,26
11240750,22,19
11240770,62,24
11240780,2,4
11240790,32,15
11240800,27,17
11240810,16,13
11240820,12,9
11250530,36,18
11250540,29,23
11250550,6,3
11250560,26,14
11250580,19,9
11250590,6,5
11250610,16,16
11250630,29,18
11250650,12,11
11250660,39,22
11250670,58,24
11250700,21,21
11250710,10,17
11250720,18,12
11250730,74,32
11250740,65,39
11250750,20,14
11250760,9,8
11250770,5,3
