ADM_CD,ADM_NM,지하철역수,버스정류장수
11010530,사직동,3,33
11010540,삼청동,0,17
11010550,부암동,0,34
11010560,평창동,0,54
11010570,무악동,2,4
11010580,교남동,3,22
11010600,가회동,1,21
11010610,종로1·2·3·4가동,5,68
11010630,종로5·6가동,9,18
11010640,이화동,2,20
11010670,창신1동,10,8
11010680,창신2동,6,1
11010690,창신3동,8,6
11010700,숭인1동,10,12
11010710,숭인2동,9,8
11010720,청운효자동,0,29
11010730,혜화동,2,38
11020520,소공동,8,40
11020540,회현동,6,33
11020550,명동,10,30
11020570,필동,3,10
11020580,장충동,6,13
11020590,광희동,12,24
11020600,을지로동,13,17
11020650,신당5동,6,8
11020670,황학동,9,7
11020680,중림동,8,9
11020690,신당동,11,8
11020700,다산동,7,8
11020710,약수동,5,12
11020720,청구동,7,5
11020730,동화동,7,4
11030510,후암동,3,16
11030520,용산2가동,2,27
11030530,남영동,2,21
11030570,원효로2동,3,22
11030580,효창동,5,15
11030590,용문동,5,17
11030630,이촌1동,1,21
11030640,이촌2동,0,8
11030650,이태원1동,2,16
11030660,이태원2동,3,21
11030690,서빙고동,0,22
11030700,보광동,0,9
11030710,청파동,3,24
11030720,원효로1동,6,23
11030730,한강로동,4,41
11030740,한남동,1,34
11040520,왕십리2동,6,13
11040540,마장동,5,28
11040550,사근동,5,40
11040560,행당1동,7,26
11040570,행당2동,6,25
11040580,응봉동,1,33
11040590,금호1가동,2,39
11040620,금호4가동,2,30
11040650,성수1가1동,2,30
11040660,성수1가2동,3,12
11040670,성수2가1동,1,30
11040680,성수2가3동,2,20
11040690,송정동,0,13
11040700,용답동,3,12
11040710,왕십리도선동,5,25
11040720,금호2·3가동,4,38
11040730,옥수동,2,40
11050530,화양동,3,19
11050540,군자동,3,22
11050550,중곡1동,3,18
11050560,중곡2동,4,17
11050570,중곡3동,2,22
11050580,중곡4동,1,34
11050590,능동,4,9
11050600,구의1동,1,13
11050610,구의2동,2,21
11050620,구의3동,2,23
11050630,광장동,1,38
11050640,자양1동,1,13
11050650,자양2동,1,17
11050660,자양3동,1,19
11050670,자양4동,2,12
11060710,회기동,1,10
11060720,휘경1동,1,13
11060730,휘경2동,1,18
11060800,청량리동,3,24
